58.市、镇、县各行业分性别人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,  市(不含市辖县),,,    镇,,,    县(不含镇),,
    行业别,,,,,,,,,
,    合计,    男,    女,    合计,    男,    女,    合计,    男,    女
总计,"    81,741,893","   46,252,693","    35,489,200","    32,580,064","    19,647,746","    12,932,318","    407,183,661","    227,760,841","    179,422,820"
一、农、牧、林、渔业,"    20,057,721","    10,390,429","    9,667,292","    6,736,359","    3,665,591","    3,070,768",357360950,"    192,447,629","    164,913,321"
  1．农业,"    19,202,615","    9,91 9,515","    9,283,1 00","    6,256,594","    3,332,357","    2,924,237","    349,664,613","    187,999,490","    161,665,123"
  2．畜牧业,"    409,503","    165,866","    243,637","    1 34,690","    83,299","    51,391","    3,945,763","    1,801,910",2143853
  3．林业,"    21 7,803","    138,047","    79,756","    1 72,795","    110,639","    62,1 56","    2,302,011","    1,571,355","    730,656"
  4．渔业,"    227,800","    167,001",60799,"    1 72,280",139296,"    32,984","    1,448,563","    1,074,874","    373,689"
二一四、工业,"    34,620,576","    19,282,874","    15,337,702","    12,127,236","    7,093,105","    5,034,131","    24,822,580","    15,984,435","    8,838,145"
  二、矿业及木材采运业,"    3,412,751","    2,681,793","    730,958","    1,381,751","    1,060,488","    321,263","    3,607,343",3033273,"    574,070"
    1．矿业,"    3,266,039","    2,578,570","    687,469","    1,067,936","    832,694","    235,242","    3,216,168","    2,745,245","    470,923"
      (1)煤炭采选业,"    2,472,393","    2,002,934","    469,459","    575,505","    477,520","    97,985","    1,568,853","    1,406,440","    162,413"
      (2)石油和天然气开采业,"    169,498",115986,"    53,512","    82,742","    55,979","    26,763","    144,218","    94,887","    49,331"
      (3)金属矿业,"    339,347","    252,239","    87,108","    227,144","    165,887","    61,257","    448,959","    352,040","    96,919"
      (4)非金属矿业,"    284,801","    207,411","    77,390","    182,545","    133,308","    49,237","    1,054,138","    891,878","    162,260"
    2．木材采运业,"    146,712",103223,"    43,489","    313,815","    227,794","    86,021","    391,1 75","    288,028","    103,147"
  三、电力、煤气、自来水的生产和供应业,"    728,813","    505,065","    223,748","    376,589","    278,419","    98,170","    394,941","    327,656","    67,285"
    1．电力、蒸气和热水的生产和供应业,"    541,865","    383,643","    158,222","    324,293","    242,581","    81,712","    374,804","    312,499","    62,305"
    2．煤气生产和供应业,"    48,870","    32,603","    16,267",    888,    578,    310,    841,    624,    21 7
    3．自来水生产和供应业,"    138,078","    88,819","    49,259","    51,408","    35,260","    16,1 48","    19,296","    14,533","    4,763"
  四、制造业,"    30,479,012","    16,096,016","    14,382,996","    10,368,896","    5,754,1 98","    4,614,698","    20,820,296","    12,623,506","    8,196,790"
    1．食品、饮料和烟草制造业,"    1,662,711","    867,921","    794,790","    1,204,859","    707,059","    497,800","    1,695,474","    1,269,735","    425,739"
      (1)食品制造业,"    1,287,390","    667,573","    619,81 7","    878,364","    505,820","    372,544","    1,403,507","    1,071,309","    332,198"
      (2)饮料制造业,"    250,021",137063,"    112,958","    273,918","    1 73,935","    99,983","    268,093","    186,435","    81,658"
      (3)烟草加工业,"    125,300","    63,285","    62,01 5","    52,577","    27,304","    25,273","    23,874","    11,991","    11,883"
    2．纺织业,"    3,801,977","    1,409,608","    2,392,369","    1,261,1 46","    460,141","    801,005","    1,583,457","    491,670","    1,091,787"
    3．缝纫业,"    1,167,195",    298，045,"    869,150","    541,366","    137,268","    404,098","    1,359,915","    458,558","    901,357"
    4．皮革、毛皮及其制品制造业,"    493,909","    212,310","    281,599","    21 4,697","    95,922","    118,775","    318,031","    144,390","    173,641"
    5．木材加工业,"    41 7,507","    248,589","    168,918",156787,"    92,975","    63,81 2","    306,256","    243,331","    62,925"
    6．家俱制造业,"    368,378","    245,380","    122,998","    253,503","    186,512","    66,991","    1,684,924","    1,610,704","    74,220"
    7．制浆、造纸及纸制品业,"    648,183","    304,147","    344,036","    295,652","    156,115","    139,537","    458,927","    254,749","    204,178"
    8．文教、艺术用品制造业及印刷业,"    1,254,877","    467,547","    787,330","    556,781","    195,438","    361,343","    2,159,511","    295,163","    1,864,348"
    9．化学工业,"    1,81 5,924","    1,084,652","    731,272","    841,724","    576,532","    265,192","    851,337","    61 7,907","    233,430"
    10.医药制造业,"    403,645","    189,201","    214,444","    97,102","    45,434","    51,668",    53，049,"    24,758","    28,291"
    11．橡胶及塑料制品制造业,"    1,076,449","    475,580","    600,869","    269,453","    116,644","    152,809","    593,715","    245,626","    348,089"
    12．石油及煤制品制造业,"    376,71 7","    229,455","    147,262","    68,256","    41,541","    26,71 5","    65,937","    45,849","    20,088"
    13.非金属矿物制品制造业,"    2,441,204","    1,474,100","    967,104","    1,037,444","    662,653","    374,791","    3,934,553","    3,034,656","    899,897"
    14．冶金工业,"    1,700,418","    1,197,668","    502,750","    232,508","    1 70,066","    62,442","    281,647","    212,035","    69,612"
    15.金属制品制造业,"    1,689,784","    879,354","    810,430","    522,635","    316,872","    205,763","    1,707,187","    1,251,133","    456,054"
    16.一般机械(不包括电气机械)制造业,"    5,305,972","    3,325,1 65","    1,980,807","    1,594,1 80","    1,082,01 4","    512,1 66","    1,797,795","    1,31 7,978","    479,817"
    1 7．电气、电子机械没备制造业,"    2,507,968","    1,269,644","    1,238,324","    473,667","    264,938","    208,729","    466,687","    253,594","    213,093"
    18.交通运输设备制造业,"    1,915,108","    1,215,933",    699175,"    393,171","    267,345","    125,826","    261,608","    188,485","    73,123"
    19.精密机械及仪器仪表制造业,"    926,741","    478,625","    448,116","    1 41,005","    80,681","    60,324","    162,026","    104,595","    57,431"
    20．其它制造业及修理业,"    504,345","    223,092","    281,253","    212,960","    98,048","    114,912","    1,078,260","    558,590","    519,670"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,  市(不含市辖县),,,    镇,,,    县(不含镇),,
    行业别,,,,,,,,,
,    合计,    男,    女,    台计,    男,    女,    合计,    男,    女
,,,,,,,,,
(续),,,,,,,,,
五、地质勘探和普查业,"    350,1 53","    271,852","    78,301","    239,396","    188,039","    51,357","    234,494","    1 82,249","    52,245"
  1．地质勘探和普查业,"    350,153","    271,852","    78,301","    239,396","    188,039","    51,357",234494,"    1 82,249",    52，245
六、建筑业,"    5,395,371","    3,954,880","    1,440,491","    1,505,931","    1,1 59,569","    346,362","    4,108,117","    3,817,646","    290,471"
  1．土木工程建筑业,"    4,551,593",3355491,"    1,196,102","    1,381,840","    1,068,891","    312,949","    3,987,554","    3,726,354","    261,200"
  2．线路、管道和设备安装业,"    484,107","    352,831","    1 31,276","    64,1 80","    45,607","    18,573","    54,064","    41,416","    12,648"
  3．勘察设计,"    248,145","    168,753","    79,392","    1 4,798","    11,034","    3,764","    7,276","    5,21 2","    2,064"
  4．筹建机构,"    111,526","    77,805","    33,721","    45,113","    34,037","    11,076","    59,223","    44,664","    14,559"
七、交通运输、邮电通信业,"    4,628,162",3402528,"    1,225,634","    2,235,473","    1,718,720","    51 6,753","    2,117,337","    1,805,154","    312,1 83"
  1．运输业,"    4,304,530","    3,202,788","    1,101,742","    2,000,513","    1,557,521","    442,992","    1,901,983","    1,636,149","    265,834"
  2．由5电通信业,"    323,632","    199,740","    123,892","    234,960","    161,199","    73,761","    215,354","    169,005","    46,349"
八、商业、饮食业、物资供销及仓储业,"    5,893,913","    2,786,497","    3,107,416","    3,985,104","    2,088,777","    1,896,327","    5,628,91 1","    3,926,342","    1,702,569"
  1．商业,"    4,168,712","    1,896,617","    2,272,095","    3,069,379","    1,608,234","    1,461,145","    4,841,841","    3,435,140","    1,406,701"
  2．饮食业,"    877,056","    318,625","    558,431","    554,698","    218,112","    336,586","    547,91 3","    299,392","    248,521"
  3．物资供销,"    496,479","    339,922","    1 56,557","    227,133","    1 64,624","    62,509","    95,291","    72,553","    22,738"
  4．仓储业,"    351,666","    231,333","    120,333","    1 33,894","    97,807","    36,087","    143,866","    119,257","    24,609"
九、住宅管理、公用事业管理和居民服务业,"    1,444,447","    71 4,1 64","    730,283","    51 4,864","    258,861","    256,003","    482,094","    373,040","    109,054"
  1．房地产管理事业,"    231,1 00","    1 47,925","    83,1 75","    69,830","    49,329","    20,501","    23,459","    19,713","    3,746"
  2．公用事业,"    438,376","    233,781","    204,595","    78,212","    44,688","    33,524","    28,235","    19,266","    8,969"
  3．居民服务业,"    774,971","    332,458","    442,513","    366,822","    164,844",    201，978,"    430,400","    334,061","    96,339"
十、卫生、体育和社会福利事业,"    1,426,740","    557,858","    868,882","    835,137","    359,536","    475,601","    1,839,478","    1,210,1 68","    629,310"
  1．卫生事业,"    1,330,367","    507,671","    822,696","    809,083","    344,648","    464,435","    1,805,918","    1,186,554","    619,364"
  2．体育事业,"    45,511","    30,738","    14,773","    5,767","    4,274","    1,493","    2,127","    1,648",    479
  3．社会福利事业,"    50,862","    19,449","    31,413","    20,287","    10,614","    9,673","    31,433","    21,966","    9,467"
十一、教育、文化艺术事业,"    3,397,506","    1,781,648","    1,61 5,858","    1,520,1 83","    861,477","    658,706","    7,464,390","    5,358,449","    2,105,941"
  1．教育事业,"    2,932,081","    1,477,157","    1,454,924","    1,232，230","    659,430","    572,800","    7,120,506","    5,079,815","    2,040,691"
  2．文化艺术事业,"    465,425","    304,491","    160,934","    287,953","    202,047","    85,906","    343,884","    278,634","    65,250"
十二、科学研究和综合技术服务,"    894,068","    558,981",335087,"    174,728","    114,91 5","    59,813","    133,476","    87,874","    45,602"
  1．科学研究,"    760,628","    472,222","    288,406","    122,678","    77,655","    45,023","    105,531","    67,349","    38,182"
  2．综合技术服务事业,"    133,440","    86,759","    46,681","    52,050","    37,260","    14,790","    27,945","    20,525","    7,420"
十三、金融、保险业,"    297,232","    166,894","    130,338","    283,703","    179,764","    103,939","    442,040","    349,616","    92,424"
  1．金融业,"    290,029","    162,004","    128,025","    281,165","    177,868","    103,297","    440,459","    348,250","    92,209"
  2．保险业,"    7,203","    4,890","    2,313","    2,538","    1,896",    642,"    1,581","    1,366",    215
十四、国家机关、政党和群众团体,"    3,205,61 2","    2,303,023","    902,589","    2,372,929","    1,929,131","    443,798","    2,440,005","    2,1 46,644","    293,361"
  1．国家机关,"    2,191,696","    1,690,483","    501,213","    1,874,031","    1,571,764","    302,267","    1,985,891","    1,777,898","    207,993"
  2．政党机关,"    134,876","    109,303","    25,573","    153,391","    138,630","    14,761","    130,971","    125,1 70","    5,801"
  3．群众团体,"    196,664","    64,132","    132,532","    86,797","    38,477","    48,320","    55,627","    29,088","    26,539"
  4．企业管理机关,"    682,376","    439,105","    243,271","    258,710","    180,260","    78,450","    267,516","    214,488","    53,028"
十五、其他行业,"    130,392","    81,065","    49,327","    49,020","    30,260","    18,760","    109,790","    71,596","    38,194"
  1．其他行业,    130，392,"    81,065","    49,327","    49,020","    30,260","    18,760","    109,790","    71,596","    38,194"
