,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表6—3省、自治区、直辖市的镇按行业门、大类分性别的人口数(第二口径),,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,表6—3省、自治区、直辖市的镇按行业门、大类分性别的人口数(第二口径)(续02),,,,,,,,,,,,,,,表6-3省、自治区、直辖市的镇按行业门、大类分性别的人口数(第二口径)(续03),,,,,,,,,,,,,,,表6—3省、自治区、直辖市的镇按行业门、大类分性别的人口数(第二口径)(续04),,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,表6-3省、自治区、直辖市的镇按行业门、大类分性别的人口数(第二口径)(续07),,,,,,,,,,,,,,,表6-3省、自治区、直辖市的镇按行业门、大类分性别的人口数(第二口径)(续08),,,,,,,,,,,,,,,表6—3省、自治区、直辖市的镇按行业门、大类分性别的人口数(第二口径)(续09),,,,,,,,,,,,,,,表6—3省、自治区、直辖市的镇接行业门、大类分性别的人口数(第二口径)(续10),,,,,,,,,,,,,,,表6—3省、自治区、直辖市的镇按行业门、大类分性别的人口数(第二口径)(续11),,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,表6—3省、自治区、直辖市的镇按行业门、大类分性别的人口数(第二口径)(续14),,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    表6—3省、自治区、直辖市的镇按行业门、大类分性别的人口数(第二口径)(续16),,,,,,,,,,,,,,
    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,        单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    单位：人,,,,,,,,,,,,,,
,,,,,,,,,,,,,    二、林业,,,    三、畜牧业,,,    四、渔业,,,    五、水利业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    十一、饮料制造业,,,    十二、烟草加工业,,,    十三、饲料工业,,,    十四、纺织业,,,,,,    十五、缝纫业,,,    十六、皮革、毛皮,,,    十七、木材加工及竹,,,    十八、家具制造业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,    三十九、仪器仪表及,,,    四十、其他工业,,,    Ⅲ、地质普查和勘探业,,,    一、地质普查和勘探业,,,,,,    Ⅳ、建筑业,,,    一、土木工程建筑业,,,    二、线路、管道和,,,    三、勘察设计业,,,,,,,,,,,,,,,,,,,,,    一、商业,,,    二、公共饮食业,,,    三、物资供销业,,,    四、仓储业,,,,,,,,,,,,,,,,,,,
,    在业人口总计,,,    Ⅰ、农、林、牧、渔、水利业,,,    一、农业,,,,,    地区别,,,,,,,,,,,,,,,,    六、农、林、牧、,,,    Ⅱ、工业,,,    一、煤炭采选业,,,    二、石油和天然气,,,,,,    三、黑色金属矿采选业,,,    四、有色金属矿采选业,,,    五、建筑材料及其,,,    六、采盐业,,,,,,    七、其他矿采选业,,,    八、木材及竹材采运业,,,    九、自来水生产和,,,    十、食品制造业,,,,,    地区别,,,,,,,,,,,,,,,    地区别,,,,    及其制品业,,,      藤、棕、草制品业,,,,,,,,,    十九、造纸及纸制品业,,,    二十、印刷业,,,    二十一、文教体育用品,,,    二十二、工艺美术品,,,,,,    二十三、电力、蒸汽,,,    二十四、石油加工业,,,    二十五、炼焦、煤气,,,    二十六、化学工业,,,,,,    二十七、医药工业,,,    二十八、化学纤维工业,,,    二十九、橡胶制品业,,,    三十、塑料制品业,,,,,,    三十一、建筑材料及其,,,    三十二、黑色金属,,,    三十三、有色金属,,,    三十四、金属制品业,,,,,,    三十五、机械工业,,,    三十六、交通运输,,,    三十七、电气机械及,,,    三十八、电子及通信,,,,,,    其他计量器具制造业,,,,,,,,,,,,,,    地区别,,,,,,,    设备安装业,,,,,,,,,    Ⅴ、交通运输、邮电,,,    一、交通运输业,,,    二、邮电通讯业,,,    Ⅵ、商业、公共饮食业,,,,,    地区别,,,,,,,,,,,,,,,,    Ⅶ、房地产管理、公用事业,,,    一、房地产管理业,,,    二、公用事业,,,    三、居民服务业,,,,
    地区别,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,    小计,    男,    女,,,,    渔、水利服务业,,,,,,,,,    开采业,,,,,    地区别,,,,,,,    他非金属矿采选业,,,,,,,,    地区别,,,,,,,    供应业,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,    小计,    男,    女,,,    地区别,,,,,,,    制造业,,,    制造业,,,,,,    热水生产和供应业,,,,,,    及煤制品业,,,,,,,,    地区别,,,,,,,,,,,,,,,,    他非金属矿物制品业,,,    冶炼及压延加工业,,,    冶炼及压延加工业,,,,,,,,    地区别,,,,    设备制造业,,,    器材制造业,,,        设备制造业,,,,,    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,    小计,    男,    女,,,,    通讯业,,,,,,,,,    物资供销和仓储业,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,    居民服务和咨询服务业,,,,,,,,,,,,,
,    合计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,    201 801,    133 176,    68 625,    109 133,    61 947,    47 186,    230 485,    185 876,    44 609,    158 468,    125 039,    33 429,,,    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,    小计,    男,    女,,,总计,    469 075,    272 556,    196 519,    81 392,    40 482,    40 910,    60 381,    36 534,    23 847,    1 982 118,    683 586,    1 298 532,,,总计,    815 680,    206 841,    608 839,    244 052,    93 162,    150 890,    299 475,    171 897,    127 578,    287 367,    227 084,    60 283,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,    小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,    小计,    男,    女,,,    地区别,,,,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,  1 474 264,  1 219 283,    254 981,    1 386 177,    1 153 031,    233 146,    68 128,    51 609,    16 519,    19 959,    14 643,    5 316,,,    地区别,,,,,,,,,,,,,,,总计,  6 131 337,  3 095 749,  3 035 588,    735 138,    318 676,  416 462,    309 553,    198 345,    11 1 208,    188 421,    131 271,    57 150,,,    地区别,,,,,,,,,,,,,,
总计,    45 791 797,    27 058 094,    18 733 703,    7 610 609,    4 186 774,    3 423 835,    6 582 812,    3 445 069,    3 137 743,,,北京市,    627,    455,    172,    3 714,    2 078,    1 636,    634,    502,    132,    2 628,    2 132,    496,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,    81 430,    60 348,    21 082,    317 181,    228 074,    89 107,    203 956,    148 398,    55 558,    40 855,    29 687,    11 168,,,总计,    257,    184,    73,    443 800,    303 651,  140 149,    90 892,    57 337,    33 555,    1 255 616,    733 152,    522 464,,,北京市,    4 330,    2 749,    1 581,    29,    20,    9,    987,    673,    314,    12 834,    5 076,    7 758,,,北京市,    8 528,    2 624,    5 904,    705,    177,    528,    589,    435,    154,    1 729,    1 142,    587,,,总计,    400 639,    214 707,    185 932,    314 399,    132 447,    181 952,    101 777,    32 021,    69 756,    346 614,    100 055,    246 559,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,,总计,    147 548,    67 231,    80 317,    60 218,    32 967,    27 251,    115 187,    57 847,    57 340,    288 962,    125 738,    163 224,,,,,,,,,,,,,,,,,,总计,  1 639 585,  1 067 463,    572 122,    511 354,    349 414,  161 940,    411 264,    216 073,    195 191,    184 840,    81 702,    103 138,,,总计,    83 859,    46 414,    37 445,    63 985,    33 451,    30 534,    162 468,    125 388,    37 080,    162 468,    125 388,    37 080,,,北京市,    19 746,    16 883,    2 863,    18 160,    15 716,    2 444,    1 478,    1 089,    389,    108,    78,    30,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,    小计,    男,    女,,,北京市,    28 330,    13 769,    14 561,    4 538,    1 895,    2 643,    1 841,    1 205,    636,    3 222,    2174,    1 048,,,,  小计,    男,    女,  小计,    男,    女,  小计,    男,    女,    小计,    男,    女,,
北京市,    359 649,    215 189,    144 460,    33 098,        16 722,    16 376,    22 885,    9 560,    13 325,,,天津市,    36,    29,    7,    540,    353,    187,    144,    125,    19,    1 463,    1 281,    182,,,总计,    327 910,    235 667,    92 243,  16 169 129,  9 155 221,  7 013 908,    900 299,    742 311,    157 988,    62 980,    42 704,    20 276,,,北京市,    1 585,    1 332,    253,    17,    15,    2,    1 021,    789,    232,    2,    1,    1,,,北京市,-,-,-,-,-,-,    606,    414,    192,    6 958,    3 755,    3 203,,,天津市,    1 100,    747,    353,    31,    30,    1,    482,    350,    132,    11 541,    5 241,    6 300,,,天津市,    2 713,    666,    2 047,    1 462,    516,    946,    649,    407,    242,    345,    265,    80,,,北京市,    2 169,    1 316,    853,    5 294,    2 243,    3 051,    1 186,    543,    643,    2 543,    1 036,    1 507,,,总计,    548 215,    389 866,    158 349,    24 724,    15 604,    9 120,    48 405,    30 562,    17 843,    998 290,    643 966,    354 324,,,北京市,    1 134,    497,    637,    5 545,    3 165,    2 380,    2 309,    1 434,    875,    4 758,    2 285,    2 473,,,,  小计,    男,    女,  小计,    男,    女,小计,    男,    女,    小计,    男,    女,,,北京市,    20 768,    13 444,    7 324,    16 313,    10 619,    5 694,    5 629,    3 236,    2 393,    628,    275,    353,,,北京市,    2 037,    1 198,    839,    282,    108,    174,    523,    440,    83,    523,    440,    83,,,天津市,    6 638,    6 030,    608,    6 493,    5 903,    590,    143,    125,    18,    2,    2,    -,,,总计,    2 554 399,    1 976 503,    577 896,  2 226 616,  1 757 312,  469 304,    327 783,    219 191,    108 592,    7 364 449,    3 744 041,    3 620 408,,,天津市,    17 364,    9 000,    8 364,    1 353,    681,    672,    1 196,    814,    382,    1 137,    766,    371,,,总计,  1 111 428,    586 687,    524 741,94 207,    63 885,    30 322,    130 943,    71 913,    59 030,    864 070,    435 284,    428 786,,
天津市,    156 282,    96 016,    60 266,    18 702,    10 703,    7 999,    15 272,    7 935,    7 337,,,河北省,    2 180,    1 604,    576,    2 182,    1 260,    922,    2 298,    2 186,    112,    7 256,    5 726,    1 530,,,北京市,    2 610,    1 995,    615,    138 720,    78 891,    59 829,    46,    44,    2,    6,    5,    1,,,天津市,-,-,-,-,-,-,    1 745,    1 275,    470,    52,    52,-,,,天津市,-,-,-,-,-,-,    347,    251,    96,    3 540,    2 208,    1 332,,,河北省,    11 389,    6 890,    4 499,    22,    10,    12,    2 807,    1663,    1 144,    51 348,    23 524,    27 824,,,河北省,    23 350,    5 731,    17 619,    5 607,    2 306,    3 301,    3 176,    2 224,    952,    7 240,    5 623,    1 617,,,天津市,    1 086,    523,    563,    784,    281,    503,    290,    141,    149,    2 189,    836,    1 353,,,北京市,    584,    447,    137,    50,    25,    25,    261,    182,    79,    6 863,    4 321,    2 542,,,天津市,    323,    129,    194,    1,    1,    -,    240,    115,    125,    602,    275,    327,,,总计,  1 287 626,    819 802,    467 824,    278 799,    194 676,    84 123,    134 959,    90 482,    44 477,    541 074,    334 745,    206 329,,,天津市,    4 543,    3 151,    1 392,    1 449,    936,    513,    1 035,    682,    353,    1 133,    451,    682,,,天津市,    54,    33,    21,    329,    225,    104,    1 993,    1 320,    673,    1 993,    1 320,    673,,,河北省,    33 175,    28 205,    4 970,    31 550,    27 022,    4 528,    1 396,    1 047,    349,    229,    136,    93,,,北京市,    19 779,    16 078,    3 701,    17 696,    14 705,    2 991,    2 083,    1 373,    710,    37 931,    19 043,    18 888,,,河北省,    182 294,    95 005,    87 289,    13408,    6 854,    6 554,    11 151,    7 193,    3 958,    5 057,    3 303,    1 754,,,北京市,    8 636,    4 697,    3 939,    761,    549,    212,    1 695,    986,    709,    6 050,    3 071,    2 979,,
河北省,    1 801 327,    1 093 234,    708 093,    511 359,    268 727,    242 632,    485 719,    250 594,    235 125,,,山西省,    3 845,    3 041,    804,    1 694,    1 222,    472,    105,    82,    23,    4 496,    3 660,    836,,,天津市,    1 247,    980,    267,    53 750,    30 975,    22 775,    2,    2,     -,    1,    -,    1,,,河北省,    15 451,    12 488,    2 963,    4 657,    3 552,    1 105,    6 361,    5 093,    1 268,    159,    142,    17,,,河北省,-,-,-,    28,    19,    9,    1 645,    999,    646,    32 396,    19 522,    12 874,,,山西省,    6 662,    4 272,    2 390,    260,    122,    138,    1 069,    679,    390,    41 086,    18 672,    22 414,,,山西省,    10 998,    3 822,    7 176,    2 882,    1 261,    1 621,    954,    697,    257,    4 234,    3 321,    913,,,河北省,    12 783,    7 238,    5 545,    10 858,    3 933,    6 925,    851,    337,    514,    13 899,    3 873,    10 026,,,天津市,    1 834,    1 429,    405,    11,    6,    5,    47,    41,    6,    4 286,    2 889,    1 397,,,河北省,    4 103,    1 855,    2 248,    666,    354,    312,    4 062,    2 360,    1 702,    4 705,    2 098,    2 607,,,北京市,    11 878,    7 671,    4 207,    552,    428,    124,    1 837,    1 327,    510,    6 128,    3 840,    2 288,,,河北省,    61 195,    42 712,    18 483,    11 817,    8 366,    3 451,    7 280,    4 015,    3 265,    1 683,    721,    962,,,河北省,    3 036,    1 832,    1 204,    1 130,    573,    557,    9 970,    7 201,    2 769,    9 970,    7 201,    2 769,,,山西省,    38 835,    32 438,    6 397,    35 185,    29 631,    5 554,    3 402,    2 650,    752,    248,    157,    91,,,天津市,    8 314,    7 117,    1 197,    7 275,    6 448,    827,    1 039,    669,    370,    21 050,    11 261,    9 789,,,山西省,    108 004,    56 506,    51 498,    6 011,    3 364,    2 647,    16 220,    11 000,    5 220,    2 523,    1 830,    693,,,天津市,    2 484,    1 529,    955,    243,    176,    67,    474,    300,    174,    1 701,    1 003,    698,,
山西省,    1 062 203,    707 637,    354 566,    42 383,    29 336,    13 047,    26 304,    17 080,    9 224,,,内蒙古自治区,    30 090,    20 340,    9 750,    8 277,    6 124,    2 153,    1 168,    979,    189,    8 809,    6 669,    2 140,,,河北省,    11 724,    7 357,    4 367,    468 515,    291 957,    176 558,    30 459,    27 090,    3 369,    8 879,    5 217,    3 662,,,山西省,    5 917,    4 615,    1 302,    13 695,    10 643,    3 052,    3 069,    2 223,    846,    4,    2,    2,,,山西省,-,-,-,    114,    82,    32,    2 023,    1 285,    738,    16 374,    9 951,    6 423,,,内蒙古自治区,    12 550,    7 768,    4 782,    5,    1,    4,    2 712,    1 736,    976,    10 438,    3 227,    7 211,,,内蒙古自治区,    16 523,    3 333,    13 190,    9 561,    3 924,    5 637,    32 058,    16 514,    15 544,    10 710,    9 259,    1 451,,,山西省,    7 837,    4 751,    3 086,    7 065,    2 763,    4 302,    807,    435,    372,    3 861,    1 546,    2 315,,,河北省,    19 244,    14 656,    4 588,    346,    211,    135,    911,    709,    202,    41 777,    29 084,    12 693,,,山西省,    3 607,    1 620,    1 987,    3 588,    2 278,    1 310,    2 139,    1 325,    814,    3 177,    1 408,    1 769,,,天津市,    4 915,    3 769,    1 146,    638,    534,    104,    643,    485,    158,    3 308,    2 033,    1 275,,,山西省,    48 734,    34 036,    14 698,    14 949,    10 195,    4 754,    5 938,    3 713,    2 225,    1 209,    686,    523,,,山西省,    2 124,    1 174,    950,    515,    254,    261,    3 457,    2 737,    720,    3 457,    2 737,    720,,,内蒙古自治区,    57 244,    47 911,    9 333,    53 511,    44 945,    8 566,    3 067,    2 422,    645,    666,    544,    122,,,河北省,    73 236,    59 822,    13 414,    58 936,    50 756,    8 180,    14 300,    9 066,    5 234,    211 910,    112 355,    99 555,,,内蒙古自治区,    161 618,    80 461,    81 157,    17 175,    6 515,    10 660,    9 249,    5 935,    3 314,    6 718,    4 817,    1 901,,,河北省,    22 444,    12 150,    10 294,    1 799,    1 265,    534,    1 967,    1 200,    767,    18 108,    9 281,    8 827,,
内蒙古自治区,    1 270 926,    788 327,    482 599,    194 044,    120 776,    73 268,    124 316,        72 730,    51 586,,,辽宁省,    5 767,    3 691,    2 076,    4 288,    2 463,    1 825,    6 119,    5 356,    763,    4 840,    3 633,    1 207,,,山西省,    5 939,    4 251,    1 688,    453 072,    309 319,    143 753,    109 917,    92 338,    17 579,    31,    14,    17,,,内蒙古自治区,    1 713,    1 234,    479,    5 448,    4 087,    1 361,    10 932,    8 243,    2 689,    3 435,    1 976,    1 459,,,内蒙古自治区,-,-,-,    100 672,    69 692,    30 980,    2 413,    1 632,    781,    34 062,    20 703,    13 359,,,辽宁省,    17 290,    8 565,    8 725,    959,    563,    396,    2 590,    1 497,    1 093,    61 870,    23 245,    38 625,,,辽宁省,    28 096,    5 732,    22 364,    6 427,    2 604,    3 823,    4 510,    2 861,    1 649,    7 424,    5 706,    1 718,,,内蒙古自治区,    5 204,    2 940,    2 264,    5 276,    1 650,    3 626,    1 224,    493,    731,    13 601,    2 596,    11 005,,,山西省,    22 013,    15 554,    6 459,    41,    30,    11,    4 051,    3 111,    940,    43 850,    29 380,    14 470,,,内蒙古自治区,    2 215,    895,    1 320,    9,    6,    3,    974,    562,    412,    2 827,    767,    2 060,,,河北省,    31 605,    23 067,    8 538,    9 618,    7 363,    2 255,    603,    457,    146,    21 369,    14 050,    7 319,,,内蒙古自治区,    20 010,    14 221,    5 789,    6 526,    5 075,    1 451,    1 739,    978,    761,    61,    43,    18,,,内蒙古自治区,    68,    34,    34,    888,    357,    531,    4 401,    3 495,    906,    4 401,    3 495,    906,,,辽宁省,    49 215,    38 915,    10 300,    44 338,    35 348,    8 990,    4 487,    3 299,    1 188,    390,    268,    122,,,山西省,    53 639,    43 702,    9 937,    44 227,    37 669,    6 558,    9 412,    6 033,    3 379,    132 758,    72 700,    60 058,,,辽宁省,    217 492,    96 914,    120 578,    23 989,    10 087,    13 902,    17 105,    9 873,    7 232,    25 112,    16 263,    8 849,,,山西省,    15 374,    8 754,    6 620,    1 740,    1 126,    614,    1 594,    970,    624,    11 600,    6 369,    5 231,,
辽宁省,    1 780 678,    1 012 366,    768 312,    389 947,    219 501,    170 446,    357 077,    196 519,    160 558,,,吉林省,    20 844,    13 942,    6 902,    5 943,    3 674,    2 269,    1 591,    1 080,    511,    4 629,    3 557,    1 072,,,内蒙古自治区,    21 384,    13 934,    7 450,    417 868,    258 361,    159 507,    33 351,    27 510,    5 841,    28,    22,    6,,,辽宁省,    4 511,    2 972,    1 539,    27 692,    17 203,    10 489,    14 206,    9 530,    4 676,    1 951,    1 586,    365,,,辽宁省,    145,    101,    44,    14,    8,    6,    5 613,    3 529,    2 084,    38 275,    20 610,    17 665,,,吉林省,    26 181,    14 048,    12 133,    25,    13,    12,    2 818,    1 645,    1 173,    19 350,    6 208,    13 142,,,吉林省,    16 802,    3 090,    13 712,    5 329,    1 935,    3 394,    43 662,    21 926,    21 736,    8 967,    6 782,    2 185,,,辽宁省,    29 628,    16 043,    13 585,    11 958,    4 310,    7 648,    783,    359,    424,    5 207,    1 253,    3 954,,,内蒙古自治区,    18 908,    13 156,    5 752,    34,    20,    14,    1 183,    964,    219,    15 187,    9 352,    5 835,,,辽宁省,    5 422,    2 168,    3 254,    105,    73,    32,    4 030,    1 829,    2 201,    9 155,    3 850,    5 305,,,山西省,    25 807,    18 114,    7 693,    15 035,    11 340,    3 695,    3 240,    2 275,    965,    14 196,    9 332,    4 864,,,辽宁省,    79 973,    49 706,    30 267,    23 326,    15 292,    8 034,    12 515,    6 632,    5 883,    2 918,    988,    1 930,,,辽宁省,    4 229,    1 921,    2 308,    833,    456,    377,    4 366,    3 183,    1 183,    4 366,    3 183,    1 183,,,吉林省,    58 660,    44 469,    14 191,    54 061,    41 152,    12 909,    3 099,    2 122,    977,    1 500,    1 195,    305,,,内蒙古自治区,    86 125,    68 493,    17 632,    75 223,    61 554,    13 669,    10 902,    6 939,    3 963,    194 760,    97 728,    97 032,,,吉林省,    205 493,    94 469,    111 024,    19 796,    7 531,    12 265,    10 881,    6 832,    4 049,    29 378,    21 647,    7 731,,,内蒙古自治区,    31 365,    15 273,    16 092,    3 223,    2 218,    1 005,    3 642,    1 743,    1 899,    24 048,    10 996,    13 052,,
吉林省,    1 517 113,    897 129,    619 984,    166 596,    106 348,    60 248,    122 485,    76 308,    46 177,,,黑龙江省,    27 212,    17 657,    9 555,    8 715,    5 268,    3 447,    4 775,    3 712,    1 063,    7 887,    6 168,    1 719,,,辽宁省,    11 856,    7 839,    4 017,    634 182,    355 865,    278 317,    53 428,    40 610,    12 818,    227,    180,    47,,,吉林省,    1 355,    1 007,    348,    16 561,    11 835,    4 726,    8 002,    5 222,    2 780,    6,    6,-,,,吉林省,    93,    69,    24,    75 821,    51 670,    24 151,    3 067,    1 944,    1 123,    46 636,    26 835,    19 801,,,黑龙江省,    45 021,    24 714,    20 307,    5 171,    2 805,    2 366,    3 584,    2 251,    1 333,    72 119,    28 880,    43 239,,,黑龙江省,    28 163,    5 791,    22 372,    10 433,    3 834,    6 599,    54 735,    28 084,    26 651,    15 837,    12 037,    3 800,,,吉林省,    22 619,    12 019,    10 600,    11 339,    3 820,    7 519,    1 646,    690,    956,    4 278,    888,    3 390,,,辽宁省,    17 712,    13 567,    4 145,    1 057,    730,    327,    943,    550,    393,    42 439,    24 576,    17 863,,,吉林省,    13 951,    5 335,    8 616,    7 627,    4 592,    3 035,    2 034,    947,    1 087,    7 819,    2 828,    4 991,,,内蒙古自治区,    26 295,    17 139,    9 156,    1 013,    803,    210,    453,    358,    95,    7 562,    5 091,    2 471,,,吉林省,    48 626,    30 791,    17 835,    14 026,    9 648,    4 378,    8 138,    4 185,    3 953,    582,    272,    310,,,吉林省,    193,    94,    99,    1 274,    470,    804,    7 595,    5 877,    1 718,    7 595,    5 877,    1 718,,,黑龙江省,    93 052,    74 539,    18 513,    89 434,    71 690,    17 744,    2 557,    1 973,    584,    1 061,    876,    185,,,辽宁省,    107 482,    79 232,    28 250,    96 530,    72 874,    23 656,    10 952,    6 358,    4 594,    283 698,    133 137,    150 561,,,黑龙江省,    317 404,    145 313,    172 091,    36 228,    14 354,    21 874,    31 886,    19 969,    11 917,    51 142,    38 084,    13 058,,,辽宁省,    44 759,    23 902,    20 857,      9 354,    6 238,    3 116,    8 620,    5 204,    3 416,    26 147,    12 021,    14 126,,
