表9—9  全国市1989年育龄妇女分年龄、文化程度和孩次的生育状况,,,,,,,,,,,,,
    35,    851 204,    9 725,    11.42,    2 824,    3.32,    5 107,    6.00,    1 177,    1.38,    368,    0.43,    249,    0.29
    36,    756 596,    6 927,    9.16,    2 037,    2.69,    3 563,    4.71,    883,    1.17,    283,    0．37,    161,    0.21
    37,    715 202,    4 646,    6.50,    1 472,    2.06,    2 236,    3.13,    576,    0.81,    217,    0.30,    145,    0.20
    38,    618 880,    2 905,    4.69,    918,    1.48,    1 357,    2.19,    372,    0.60,    144,    0．23,    114,    0.18
    39,    570 061,    1 827,    3.20,    616,    1.08,    752,    1.32,    274,    0.48,    112,    0．20,    73,    0．13
  40-44岁,    1 628 577,    2 127,    1.31,    607,    0.37,    667,    0.41,    404,    0.25,    250,    0．15,    199,    0.12
    40,    379 970,    776,    2.04,    247,    0.65,    272,    0.72,    127,    0.33,    70,    0.18,    60,    0.16
    41,    327 705,    531,    1.62,    147,    0.45,    169,    0.52,    98,    0.30,    67,    0.20,    50,    0.15
    42,    324 430,    367,    1.13,    97,    0.30,    114,    0.35,    80,    0.25,    48,    0.15,    28,    0.09
    43,    310 039,    267,    0．86,    72,    0.23,    67,    0.22,    63,    0．20,    36,    0．12,    29,    0．09
    44,    286 433,    186,    0.65,    44,    0.15,    45,    0.16,    36,    0.13,    29,    0.10,    32,    0.11
  45-49岁,    1 124 862,    517,    0.46,    49,    0.04,    111,    0.10,    149,    0.13,    128,    0.11,    80,    0.07
    45,    255 180,    124,    0.49,    18,    0.07,    33,    0.13,    23,    0.09,    32,    0.13,    18,    0.07
    46,    240 407,    115,    0.48,    8,    0.03,    22,    0.09,    40,    0.17,    24,    0．10,    21,    0.09
    47,    228 913,    119,    0.52,    9,    0.04,    27,    0.12,    38,    0.17,    27,    0.12,    18,    0．08
    48,    210 957,    82,    0．39,    11,    0.05,    15,    0．07,    25,    0.12,    21,    0.10,    10,    0．05
    49,    189 405,    77,    0.41,    3,    0．02,    14,    0.07,    23,    0.12,    24,    0.13,    13,    0.07
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
,,,,  出生数,    生育率,,,,,,,,
高中,    12 643 817,    747 991,    59.16,    637 145,    50.39,    92 073,    7.28,    15 119,    1.20,    2 917,    0.23,    737,    0.06
  15-19岁,    2 438 199,    3 063,    1.26,    2 960,    1.21,    95,    0.04,    4,    0.00,    2,    0．00,    2,    0.00
    15,    335 594,    9,    0.03,    7,    0.02,-,-,    1,    0.00,-,-,    1,    0.00
    16,    534 363,    27,    0．05,    24,    0.04,    2,    0.00,-,-,    1,    0.00,-,-
    17,    549 757,    131,    0.24,    128,    0.23,    2,    0.00,-,-,-,-,    1,    0．00
    18,    527 676,    543,    1.03,    523,    0.99,    20,    0．04,-,-,-,-,-,-
    19,    490 809,    2 353,    4.79,    2 278,    4.64,    71,    0.14,    3,    0.01,    1,    0.00,-,-
  20-24岁,    2 322 970,    258 510,    111.28,    246 878,    106.28,    10 726,    4.62,    818,    0.35,    80,    0.03,    8,    0.00
    20,    513 131,    8 845,    17.24,    8 567,    16.70,    260,    0.51,    16,    0.03,    1,    0.00,    1,    0.00
    21,    430 942,    18 566,    43.08,    17 927,    41.60,    594,    1.38,    43,    0.10,    1,    0.00,    1,    0.00
    22,    356 066,    32 890,    92.37,    31 631,    88.83,    1 181,    3.32,    68,    0.19,    10,    0.03,-,-
    23,    451 052,    77 093,    170.92,    73 950,    163.95,    2 910,    6.45,    204,    0.45,    26,    0.06,    3,    0．01
    24,    571 779,    121 116,    211.82,    1 14 803,    200.78,    5 781,    10.11,    487,    0.85,    42,    0．07,    3,    0.01
  25-29岁,    3 814 523,    410 436,    107.60,    350 591,    91.91,    49 736,    13.04,    8 606,    2.26,    1 303,    0.34,    200,    0.05
    25,    832 181,    145 232,    174.52,    134 026,    161.05,    9 81 5,    11.79,    1 247,    1.50,    130,    0.16,    14,    0.02
    26,    1 000 339,    131 548,    131.50,    114 804,    114.77,    14 096,    14.09,    2 327,    2.33,    287,    0.29,    34,    0.03
    27,    625 578,    60 332,    96.44,    49 185,    78.62,    9 003,    14.39,    1 808,    2.89,    291,    0.47,    45,    0．07
    28,    630 557,    39 684,    62.93,    30 707,    48.70,    7 306,    11.59,    1382,    2.19,    254,    0.40,    35,    0.06
    29,    725 868,    33 640,    46.34,    21 869,    30.13,    9 516,    13.11,    1 842,    2.54,    341,    0.47,    72,    0.10
  30-34岁,    2 71 5 510,    69 133,    25.46,    34 395,    12.67,    28 144,    10.36,    4 991,    1.84,    1 255,    0.46,    348,    0.13
    30,    627 089,    22 172,    35.36,    12 504,    19.94,    7 798,    12.44,    1 464,    2.33,    338,    0.54,    68,    0.11
    31,    733 263,    19 923,    27.17,    10 258,    13.99,    7 836,    10.69,    1 393,    1.90,    343,    0.47,    93,    0.13
    32,    583 852,    13 354,    22.87,    6 270,    10．74,    5 794,    9.92,    963,    1.65,    259,    0.44,    68,    0．12
    33,    442 617,    8 460,    19.11,    3 556,    8.03,    4 004,    9.05,    667,    1.51,    166,    0．38,    67,    0.15
    34,    328 689,    5 224,    15.89,    1 807,    5.50,    2 712,    8.25,    504,    1.53,    149,    0.45,    52,    0.16
  35-39岁,    608 865,    6 107,    10.03,    2 008,    3.30,    3 141,    5.16,    602,    0.99,    214,    0.35,    142,    0.23
    35,    216 398,    2 966,    13.71,    1 000,    4.62,    1 551,    7.17,    273,    1.26,    93,    0.43,    49,    0.23
    36,    134 533,    1 483,    11.02,    451,    3.35,    797,    5.92,    150,    1.11,    52,    0.39,    33,    0.25
    37,    95 677,    803,    8.39,    241,    2.52,    424,    4.43,    78,    0.82,    35,    0.37,    25,    0.26
    38,    75 736,    535,    7.06,    194,    2.56,    224,    2.96,    64,    0.85,    28,    0．37,    25,    0.33
    39,    86 521,    320,    3.70,    122,    1.41,    145,    1.68,    37,    0.43,    6,    0.07,    10,    0.12
  40-44岁,    412 592,    584,    1.42,    268,    0.65,    187,    0．45,    66,    0．16,    34,    0.08,    29,    0.07
    40,    89 796,    213,    2.37,    101,    1.12,    75,    0.84,    22,    0．24,    8,    0.09,    7,    0.08
    41,    90 042,    163,    1.81,    78,    0.87,    50,    0.56,    20,    0.22,    8,    0.09,    7,    0.08
    42,    84 281,    94,    1.12,    42,    0.50,    33,    0.39,     7,    0.08,    8,    0.09,    4,    0．05
    43,    74 202,    67,    0.90,    28,    0.38,    18,    0.24,    12,    0．16,    5,    0．07,    4,    0．05
    44,    74 271,    47,    0.63,    19,    0.26,    1 1,    0.15,    5,    0.07,    5,    0.07,    7,    0．09
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
    单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
    文化程度,  1989年年中,  出生,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    和年龄别,  妇女人数,  人数,  生育率,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  45-49岁,    331 158,    158,    0．48,    45,    0．14,    44,    0．13,    32,    0.10,    29,    0.09,    8,    0.02
    45,    74 440,    43,    0.58,    10,    0．13,    16,    0.21,    8,    0.11,    6,    0.08,    3,    0.04
    46,    74 667,    46,    0.62,    14,    0.19,    12,    0．16,    10,    0.13,    7,    0.09,    3,    0.04
    47,    69 017,    29,    0.42,    11,    0.16,    7,    0.10,    4,    0．06,    7,    0.10,-,-
    48,    60 627,    24,    0.40,    7,    0.12,    6,    0．10,    5,    0.08,    5,    0.08,    1,    0．02
    49,    52 407,    16,    0.31,    3,    0.06,    3,    0.06,    5,    0.10,    4,    0.08,    1,    0．02
中专,    3 824 406,    138 449,    36.20,    130 092,    34.02,    7 535,    1.97,    598,    0.16,    158,    0.04,    66,    0.02
  15-19岁,    1 016 589,    285,    0.28,    277,    0.27,    7,    0.01,-,-,    1,    0．00,-,-
    15,    118 926,-,-,-,-,-,-,-,-,-,-,-,-
    16,    216 286,    1,    0．00,    1,    0．00,-,-,-,-,-,-,-,-
    17,    244 967,    12,    0．05,    10,    0．04,    1,    0．00,-,-,    1,    0.00,-,-
    18,    236 939,    39,    0．16,    38,    0.16,    1,    0.00,-,-,-,-,-,-
    19,    199 471,    233,    1．17,    228,    1.14,    5,    0.03,-,-,-,-,-,-
  20-24岁,    641 722,    51 034,    79.53,    50 265,    78.33,    721,    1.12,    41,    0．06,    5,    0.01,    2,    0.00
    20,    171 728,    1 150,    6.70,    1 123,    6.54,    27,    0.16,-,-,-,-,-,-
    21,    129 226,    2 924,    22.63,    2 884,    22.32,    39,    0．30,-,-,    1,    0.01,-,-
    22,    101 942,    6 066,    59.50,    5 979,    58.65,    80,    0．78,    6,    0.06,    1,    0.01,-,-
    23,    115 266,    15 488,    134.37,    15 279,    132.55,    194,    1.68,    14,    0.12,    1,    0.01,-,-
    24,    123 560,    25 406,    205.62,    25 000,    202.33,    381,    3.08,    21,    0.17,    2,    0.02,    2,    0.02
  25-29岁,    493 150,    74 683,    151.44,    72 294,    146.60,    2 135,    4.33,    190,    0.39,    50,    0．10,    14,    0.03
    25,    144 182,    29 844,    206.99,    29 320,    203.35,    473,    3.28,    40,    0.28,    10,    0.07,    1,    0．01
    26,    143 982,    25 174,    174.84,    24 569,    170.64,    544,    3.78,    49,0.34,    10,    0.07,    2,    0.01
    27,    76 222,    10 140,    133.03,    9 719,    127.51,    372,    4.88,    34,    0．45,    12,    0.16,    3,    0．04
    28,    63 085,    5 572,    88.33,    5 184,    82.17,    343,5.44,    32,    0.51,    9,    0.14,    4,    0．06
    29,    65 679,    3 953,    60.19,    3 502,    53.32,    403,    6.14,    35,    0.53,    9,    0.14,    4,    0.06
  30-34岁,    421 283,    8 974,    21.30,    5 863,    13.92,    2 850,    6.77,    188,    0．45,    52,    0.12,    21,    0.05
    30,    59 548,    2 283,    38.34,    1 809,    30.38,    415,    6.97,    40,    0．67,    17,    0.29,    2,    0.03
    31,    79 726,    2 207,    27.68,    1 556,    19.52,    599,    7.51,    38,    0.48,    11,    0.14,    3,    0．04
    32,    83 296,    1 743,    20.93,    1 080,    12.97,    610,    7.32,    40,    0.48,    9,    0.11,    4,    0.05
    33,    91 177,    1 481,    16.24,    803,    8.81,    628,    6.89,    35,    0.38,    9,    0.10,    6,    0.07
    34,    107 536,    1 260,    11.72,    615,    5.72,    598,    5.56,    35,    0.33,    6,    0.06,    6,    0.06
  35-39岁,    426 044,    2 907,    6.82,    1 174,    2.76,    1 599,    3.75,    100,    0．23,    16,    0.04,    18,    0.04
    35,    103 468,    1 040,    10.05,    431,    4.17,    569,    5.50,    27,    0．26,    5,    0.05,    8,    0.08
    36,    88 618,    732,    8.26,    283,    3.19,    415,    4.68,    30,    0.34,    4,    0.05,-,-
    37,    83 775,    568,    6.78,    226,    2.70,    314,    3.75,    21,    0.25,    5,    0.06,    2,    0.02
    38,    69 038,    324,    4.69,    127,    1.84,    180,    2.61,    12,    0.17,-,-,    5,    0.07
    39,    81145,    243,    2.99,    107,    1.32,    121,    1.49,    10,    0.12,    2,    0．02,    3,    0.04
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  40-44岁,    446 686,    441,    0.99,    198,    0.44,    178,    0.40,    46,    0.10,    15,    0.03,    4,    0．01
    40,    104 290,    173,    1.66,    85,    0．82,    74,    0.71,    10,    0.10,    3,    0.03,    1,    0.01
    41,    106 679,    116,    1.09,    51,    0．48,    50,    0．47,    13,    0．12,    1,    0．01,    1,    0．01
    42,    91 327,    68,    0．74,    36,    0.39,    22,    0．24, 7,    0.08,    3,    0.03,   -,   -
    43,    72 466,    45,    0.62,    15,    0.21,    23,    0.32,    7,    0.10,     -,     -,     -,   -
    44,    71 924,    39,    0.54,    11,    0.15,    9,    0.13,    9,    0.13,    8,    0.11,    2,    0.03
  45—49岁,    378 932,    125,    0．33,    21,    0．06,    45,    0.12,    33,    0.09,    19,    0.05,    7,    0.02
    45,    75 897,    25,    0．33,    12,    0．16,    7,    0.09,    4,    0.05,    2,    0.03,-,-
    46,      81 323,    24,    0.30,    1,    0．01,    11,    0.14,    6,    0.07,    3,    0．04,    3,    0.04
    47,    79 996,    36,    0.45,    3,    0.04,    14,    0.18,    12,    0.15,    5,    0.06,    2,    0．03
    48,    73 751,    20,    0.27,    4,    0.05,    5,    0.07,    6,    0.08,    3,    0.04,    2,    0.03
    49,    67 965,    20,    0.29,    1,0.01,    8,    0．12, 5,    0.07,    6,    0.09,    -,-
大学专科,    2 205 934,    123 805,    56.12,    120 110,    54.45,    3 522,    1.60,    148,    0.07,    20,    0.01,    5,    0.00
  15—19岁,    270 136,    35,    0.13,    35,    0.13,-,-,-,-,-,-,-,-
    15,    997,-,-,-,-,-,-,-,-,-,-,-,-
    16,    7 071,-,-,-,-,-,-,-,-,-,-,-,-
    17,    36 350,    1,    0.03,    1,    0．03,-,-,-,-,-,-,-,-
    18,    91 057,    6,    0.07,    6,    0.07,-,-,-,-,-,-,-,-
    19,    134 661,    28,    0.21,    28,    0.21,-,-,-,-,-,-,-,-
  20—24岁,    565 393,    25 724,      45.50,    25 460,    45.03,    261,    0.46,    2,    0.00,    1,    0．00,-,-
    20,    152 666,    136,    0．89,    135,    0．88,    1,    0.01,-,-,-,-,-,-
    21,    121 542,    552,    4.54,    547,    4.50,    5,    0.04,-,-,-,-,-,-
    22,    87 499,    1 859,    21.25,    1 841,    21.04,    18,    0.21,-,-,-,-,-,-
    23,    98 154,    7 300,    74.37,    7 230,    73.66,    69,    0.70,    1,    0.01,-,-,-,-
    24,    105 532,    15 877,    150.45,    15 707,    148.84,    168,    1.59,    1,    0．01,    1,    0.01,-,-
  25-29岁,    477 462,    84 623,    177.24,    83 566,    175.02,    1 015,    2.13,    38,    0.08,    3,    0.01,    1,    0.00
    25,    139 134,    27 539,    197.93,    27 279,    196.06,    255,    1.83,     5,    0.04,-,-,-,-
    26,    146 233,    29 968,    204.93,    29 653,    202.78,    305,    2.09,    10,    0.07,-,-,-,-
    27,    77 889,    13 667,    175.47,    13 497,    173.29,    161,    2.07,    9,    0.12,-,-,-,-
    28,    59 583,    8 043,    134.99,    7 874,    132.15,    160,    2.69,    8,    0.13,    1,    0.02,-,-
    29,    54 623,    5 406,    98.97,    5 263,    96.35,    134,    2.45,    6,    0.11,    2,    0.04,    1,    0.02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,    出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  30—34岁,    321 698,    10 574,    32.87,    9 267,    28.81,    1 250,    3.89,    53,    0.16,    4,    0．01,-,-
    30,    45 874,    3 027,    65.99,    2 876,    62.69,    145,    3.16,    6,    0.13,-,-,-,-
    31,    62 762,    2 860,    45.57,    2 627,    41.86,    223,    3.55,    9,    0.14,    1,    0.02,-,-
    32,    66 528,    2 028,    30.48,    1 731,    26.02,    282,    4.24,    13,    0.20,    2,    0.03,-,-
    33,    70 331,    1 451,    20.63,    1 176,    16.72,    264,    3.75,    11,    0.16,-,-,-,-
    34,    76 203,    1 208,    15.85,    857,    11．25,    336,    4.41,    14,    0．18,    1,    0.01,-,-
  35—39岁,    296 038,    2 517,    8.50,    1 563,    5.28,    912,    3.08,    36,    0.12,    4,    0.01,    2,    0.01
    35,    73 488,    902,    12.27,    593,    8.07,    295,    4.01,    12,    0．16,    1,    0.01,    1,    0.01
    36,    59 865,    604,    10.09,    373,    6.23,    226,    3.78,        4,    0.07,    1,    0.02,-,-
    37,    56 701,    466,    8.22,    274,    4.83,    181,    3.19,    9,    0.16,    1,    0.02,    1,    0.02
    38,    52 182,    310,    5.94,    180,    3.45,    123,    2.36,    6,    0.11,    1,    0．02,-,-
    39,    53 802,    235,    4.37,    143,    2.66,    87,    1.62,    5,    0．09,-,-,-,-
  40—44岁,    165 273,    289,    1.75,    204,    1.23,    73,    0.44,    8,    0.05,    3,    0.02,    1,    0.01
    40,    41 505,    146,    3.52,    100,    2.41,    39,    0.94,    4,    0.10,    2,    0.05,    1,    0.02
    41,    37 071,    73,    1.97,    54,    1．46,    17,    0.46,    2,    0.05,-,-,-,-
    42,    32 913,    39,    1.18,    28,    0.85,    9,    0.27,    2,    0.06,-,-,-,-
    43,    28 914,    20,    0.69,    15,    0.52,    5,    0.17,-,-,-,-,-,-
    44,    24 870,    11,    0.44,    7,    0.28,    3,    0.12,-,-,    1,    0.04,-,-
  45—49岁,    109 934,    43,    0.39,    1 5,    0.14,    11,    0.10,    11,    0.10,    5,    0.05,    1,    0.01
    45,    22 125,    12,    0.54,    7,    0.32,     -,-,    5,    0.23,-,-,-,-
    46,    22 092,    5,    0.23,    1,    0.05,    3,0.14,     -,       -,    1,    0.05,-,-
    47,    22 174,    7,    0.32,    4,    0.18,    1,    0.05,    1,    0.05,    1,    0.05,-,-
    48,    21 604,    10,    0.46,    2,    0.09,    1,    0.05,    3,    0.14,    3,    0.14,    1,    0．05
    49,    21 939,    9,    0.41,    1,    0.05,    6,    0.27,    2,    0.09,-,-,-,-
大学本科,    1 315 356,    49 191,    37.40,    47 962,    36.46,    1 122,    0.85,    83,    0.06,    17,    0．01,    7,    0．01
  15—19岁,    216 494,    6,    0.03,    6,    0.03,-,-,-,-,-,-,-,-
    15,    605,-,-,-,-,-,-,-,-,-,-,-,-
    16,    7 921,-,-,-,-,-,-,-,-,-,-,-,-
    17,    36 154,-,-,-,-,-,-,-,-,-,-,-,-
    18,    74 210,    1,    0.01,    1,    0.01,-,-,-,-,-,-,-,-
    19,    97 604,    5,    0．05,    5,    0．05,-,-,-,-,-,-,-,-
  20—24岁,    436 827,    10 224,    23.41,    10 145,    23.22,    75,    0.17,    4,    0.01,-,-,-,-
    20,    117 222,    16,    0.14,    15,    0.13,    1,    0.01,     -,      -,-,-,-,-
    21,    100 547,    50,    0.50,    47,    0.47,    2,    0.02,    1,    0.01,-,-,-,-
    22,    72448,    388,    5.36,    385,    5.31,    3,    0.04,    -,-,-,-,-,-
    23,    75 840,    2 526,    33.31,    2 503,    33.00,    21,    0.28,    2,    0.03,-,-,-,-
    24,    70 770,    7 244,    102.36,    7 195,    101.67,    48,    0.68,    1,    0.01,-,-,-,-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
单位：人、‰,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,    第一孩,,    第二孩,,    第三孩,,    第四孩,,    第五孩及以上,
    文化程度,  1989年年中,  出生,  生育率,,,,,,,,,,
    和年龄别,  妇女人数,  人数,,,,,,,,,,,
,,,,  出生数,    生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率,  出生数,  生育率
  25—29岁,    228 077,    34 148,    149.72,    33 650,    147.54,    470,    2.06,    27,    0.12,    1,    0.00,-,-
    25,    74 479,    12 029,    161.51,    11 913,    159.95,    113,    1.52,    3,    0.04,-,-,-,-
    26,    67 076,    11 595,    172.86,    11480,    171.1 5,    11 1,    1.65,    4,    0.06,-,-,-,-
    27,    34 953,    5 192,    148.54,    5 116,    146.37,    76,    2.17,    -,        -,-,-,-,-
    28,    27 445,    3 215,    117.14,    3 117,    113.57,    89,    3.24,    8,    0.29,    1,    0.04,-,-
    29,    24 124,    2 1 17,    87.75,    2 024,    83.90,    81,    3.36,    12,    0．50,   -,-,-,-
  30—34岁,    104 084,    3 885,    37.33,    3 508,    33.70,    337,    3.24,    30,    0.29,    10,    0.10,-,-
    30,    17 341,    1 084,    62.51,    1019,    58.76,    57,    3.29,    8,    0.46,   -,-,-,-
    31,    21 259,    1 012,    47.60,    934,    43.93,    67,    3.15,    7,    0.33,    4,    0.19,-,-
    32,    22 593,    778,    34.44,    693,    30.67,    77,    3.41,    6,    0.27,    2,    0.09,-,-
    33,    21 983,    617,    28.07,    542,    24.66,    68,    3.09,    5,    0.23,       2,    0.09,-,-
    34,    20 908,    394,    18.84,    320,    15.31,    68,    3.25,    4,    0.19,    2,    0.10,-,-
  35—39岁,    70 996,    740,    10.42,    545,    7.68,    180,    2.54,    11,    0．15,    1,    0.01,    3,    0.04
    35,    18 233,    272,    14.92,    212,    11.63,    57,    3.13,    2,    0.11,    1,    0.05,-,-
    36,    14 643,    183,    12.50,    141,    9.63,    39,    2.66,    2,    0.14,-,-,    1,    0.07
    37,    13 271,    135,    10.17,    90,    6.78,    42,    3.16,    2,    0.15,-,-,    1,    0.08
    38,    12 225,    85,    6.95,    61,    4.99,    22,    1.80,    2,    0.16,-,-,-,-
    39,    12 624,    65,    5.15,    41,    3.25,    20,    1.58,    3,    0.24,-,-,    1,    0.08
  40-44岁,    103 138,    142,    1.38,    94,    0.91,    41,    0.40,    4,    0.04,    1,    0.01,     2,    0.02
    40,    9 993,    53,    5.30,    34,    3.40,    16,    1.60,    1,    0.10,-,-,      2,    0.20
    41,    10 349,    40,    3.87,    31,    3.00,    9,    0．87,-,-,-,-,-,-
    42,    20 943,    25,    1.19,    17,    0．81,    6,    0.29,    2,    0.10,-,-,-,-
    43,    32 479,    11,    0.34,    5,    0.15,    6,    0.18,-,-,-,-,-,-
    44,    29 374,    13,0.44,    7,    0.24,    4,    0.14,    1,    0.03,    1,    0.03,-,-
  45-49岁,    155 740,    46,    0．30,    14,    0.09,    19,    0.12,    7,    0.04,    4,    0.03,    2,    0.01
    45,    26 592,    8,    0.30,    3,    0.11,    3,    0.11,    1,    0.04,    1,    0.04,-,-
    46,    27 605,    11,    0.40,    3,    0．11,    4,    0．14,    2,    0.07,2,    0.07,-,-
    47,    31 740,    8,    0.25,    4,    0.13,    2,    0.06,-,-,-,-,     2,    0.06
    48,    34 349,    10,    0.29,    1,    0.03,    5,    0.15, 3,    0.09,    1,    0.03,-,-
    49,    35 454,    9,    0.25,    3,    0.08,    5,    0.14,    1,    0.03,-,-,-,-
